architecture,test_id,query_number,iteration,start_time,end_time,duration,query_status
Apache_AGE,0,q6,4,1732181768.0857847,1732181768.1219308,0.03614616394042969,True
Apache_AGE,0,q7,4,1732181768.1240366,1732181768.1377597,0.013723134994506836,True
Apache_AGE,0,q8,4,1732181768.1387825,1732181769.269904,1.1311213970184326,True
Apache_AGE,0,q10,4,1732181769.2785752,1732181769.2978184,0.019243240356445312,True
Apache_AGE,0,q11,4,1732181769.300257,1732181769.315937,0.01568007469177246,True
Apache_AGE,0,q12,4,1732181769.3178442,1732181769.6529498,0.33510565757751465,True
Apache_AGE,0,q13,4,1732181769.655514,1732181956.1739938,186.51847982406616,True
Apache_AGE,0,q14,4,1732181956.1764963,1732181956.3444617,0.16796541213989258,True
Apache_AGE,0,q15,4,1732181956.346932,1732181956.9117694,0.5648374557495117,True
Apache_AGE,0,q16,4,1732181956.914346,1732181959.6070282,2.6926822662353516,True
Apache_AGE,0,q17,4,1732181959.6095822,1732181959.6391962,0.029613971710205078,True
Apache_AGE,0,q19,4,1732181959.6416302,1732182071.6791873,112.03755712509155,True
Apache_AGE,0,q1,5,1732182071.6835938,1732182071.745011,0.061417341232299805,True
Apache_AGE,0,q2,5,1732182071.7467775,1732182071.7693882,0.02261066436767578,True
Apache_AGE,0,q3,5,1732182071.7712383,1732182071.787894,0.016655683517456055,True
Apache_AGE,0,q4,5,1732182071.7902775,1732182071.8784246,0.08814716339111328,True
Apache_AGE,0,q5,5,1732182071.8798044,1732182073.8428361,1.9630317687988281,True
Apache_AGE,0,q6,5,1732182073.8453088,1732182073.882898,0.037589311599731445,True
Apache_AGE,0,q7,5,1732182073.8853252,1732182073.90163,0.016304731369018555,True
Apache_AGE,0,q8,5,1732182073.902807,1732182075.058296,1.1554889678955078,True
Apache_AGE,0,q10,5,1732182075.06836,1732182075.0892203,0.02086019515991211,True
Apache_AGE,0,q11,5,1732182075.0914202,1732182075.1052656,0.013845443725585938,True
Apache_AGE,0,q12,5,1732182075.106504,1732182075.4447515,0.33824753761291504,True
Apache_AGE,0,q13,5,1732182075.4471877,1732182262.207804,186.76061630249023,True
Apache_AGE,0,q14,5,1732182262.2103417,1732182262.3807647,0.17042303085327148,True
Apache_AGE,0,q15,5,1732182262.3832998,1732182262.9516234,0.5683236122131348,True
Apache_AGE,0,q16,5,1732182262.954084,1732182265.6352243,2.681140422821045,True
Apache_AGE,0,q17,5,1732182265.6378417,1732182265.6693614,0.03151965141296387,True
Apache_AGE,0,q19,5,1732182265.671838,1732182376.6061082,110.93427014350891,True
