architecture,test_id,query_number,iteration,start_time,end_time,duration,query_status
Apache_AGE,0,q1,0,1732180545.7134488,1732180545.8028016,0.08935284614562988,True
Apache_AGE,0,q2,0,1732180545.8042097,1732180545.830063,0.025853395462036133,True
Apache_AGE,0,q3,0,1732180545.83151,1732180545.8483136,0.016803503036499023,True
Apache_AGE,0,q4,0,1732180545.8501146,1732180545.972879,0.12276434898376465,True
Apache_AGE,0,q5,0,1732180545.9751234,1732180547.997876,2.022752523422241,True
Apache_AGE,0,q6,0,1732180548.0003486,1732180548.039991,0.039642333984375,True
Apache_AGE,0,q7,0,1732180548.0424378,1732180548.060062,0.0176241397857666,True
Apache_AGE,0,q8,0,1732180548.0613382,1732180549.2493527,1.1880145072937012,True
Apache_AGE,0,q10,0,1732180549.258207,1732180549.2789414,0.020734310150146484,True
Apache_AGE,0,q11,0,1732180549.2813466,1732180549.2976625,0.016315937042236328,True
Apache_AGE,0,q12,0,1732180549.2995234,1732180549.6189506,0.3194272518157959,True
Apache_AGE,0,q13,0,1732180549.6214743,1732180736.4950073,186.8735330104828,True
Apache_AGE,0,q14,0,1732180736.497777,1732180736.6626315,0.1648545265197754,True
Apache_AGE,0,q15,0,1732180736.663884,1732180737.219237,0.5553531646728516,True
Apache_AGE,0,q16,0,1732180737.221896,1732180739.870282,2.648386001586914,True
Apache_AGE,0,q17,0,1732180739.8730783,1732180739.9019604,0.02888202667236328,True
Apache_AGE,0,q19,0,1732180739.903174,1732180851.2143576,111.31118369102478,True
Apache_AGE,0,q1,1,1732180851.215727,1732180851.2712843,0.0555572509765625,True
Apache_AGE,0,q2,1,1732180851.2727785,1732180851.292252,0.019473552703857422,True
Apache_AGE,0,q3,1,1732180851.2937295,1732180851.3069882,0.013258695602416992,True
Apache_AGE,0,q4,1,1732180851.3081644,1732180851.3828206,0.07465624809265137,True
Apache_AGE,0,q5,1,1732180851.3842165,1732180853.3505518,1.9663352966308594,True
Apache_AGE,0,q6,1,1732180853.3531358,1732180853.3916948,0.0385589599609375,True
Apache_AGE,0,q7,1,1732180853.3940804,1732180853.4091256,0.015045166015625,True
Apache_AGE,0,q8,1,1732180853.411096,1732180854.5923078,1.1812117099761963,True
Apache_AGE,0,q10,1,1732180854.603819,1732180854.6237495,0.019930601119995117,True
Apache_AGE,0,q11,1,1732180854.6261938,1732180854.6400962,0.013902425765991211,True
Apache_AGE,0,q12,1,1732180854.641941,1732180854.9716861,0.3297450542449951,True
Apache_AGE,0,q13,1,1732180854.9741528,1732181041.503314,186.5291612148285,True
Apache_AGE,0,q14,1,1732181041.505086,1732181041.6712532,0.1661672592163086,True
Apache_AGE,0,q15,1,1732181041.6739593,1732181042.2355282,0.5615689754486084,True
Apache_AGE,0,q16,1,1732181042.2384517,1732181044.9030912,2.664639472961426,True
Apache_AGE,0,q17,1,1732181044.904408,1732181044.9329236,0.02851557731628418,True
